Mast,MATHE7
160,1831418
160,150200
160,1417202
160,1417299
160,1745744
160,1942580
160,4038250
160,6536620
160,1270894
160,856396
160,2976840
160,1748388
160,1831417
160,1875970
160,3522643
160,5789385
160,1831411
160,1831412
160,1831413
160,1967161
160,5191111
160,8641972
160,5191423
160,8177144
160,8922358
160,2341528
160,5569381
160,8046876
160,10936
160,2365949
160,4485548
160,4810090
160,1592490
160,1613162
160,3472284
160,1860707
160,2670034
160,6539312
160,8640542
160,1615406
160,1981292
160,2533763
160,1417295
160,7012693
160,7695495
160,8119985
160,6738817
160,8118949
160,2502240
160,2559506
160,6529633
160,6529996
160,2603424
160,4911984
160,1831419
160,9153817
160,3068030
160,5789377
160,1743598
160,2573126
160,3068719
160,5948721
160,6060788
160,6708939
160,2654651
160,1410026
160,5190009
160,5576848
160,1270859
160,5949999
160,6938233
160,8640518
160,1947926
160,4135190
160,3444762
160,8119004
160,9091539
160,1678155
160,1702911
160,5288387
160,20772
160,150890
160,1709439
160,2611557
160,3069782
160,3411102
160,3784791
160,4864479
160,6528502
160,8334318
160,2141993
160,2348996
160,7610712
160,3785845
160,1966093
160,4161789
160,6620663
160,8629663
160,1791409
160,2503523
160,3621661
160,5314671
160,5315030
160,8593857
160,9570551
160,4035278
160,4112245
160,8119339
160,1534699
160,2409347
160,5782247
160,6065323
160,150169
160,2532203
160,2588506
160,3231125
160,3429379
161,1237000
161,1954006
161,2630650
161,5579020
161,7031020
161,8978348
161,63221
161,4086179
161,4307779
161,5762791
161,1418344
161,3462571
161,3998502
161,6166049
161,9245441
161,9312019
161,2043318
161,2358546
161,3629480
161,3898264
161,4117859
161,4824610
161,6234130
161,7165585
161,1020637
161,1952899
161,4144395
161,5230925
161,5592129
161,6641757
161,7951589
161,1020198
161,1752010
161,2970503
161,4975127
161,7863818
161,8575636
161,1891449
161,1928742
161,3188329
161,3469111
161,4595111
161,9248960
161,3630430
161,4421360
161,5603484
161,1721602
161,1897665
161,1899973
161,2565883
161,2629992
161,3366105
161,23433
161,1282810
161,2531407
161,4369693
161,5343727
161,1179704
161,1951488
161,2629692
161,4823503
161,565426
161,851174
161,1892132
161,3435904
161,3068086
161,3228679
161,2520741
161,2569558
161,3144463
