Mast,MATHE7
120,2787214
120,8577094
120,4671964
120,9763514
120,3498883
120,6199191
120,7620651
120,4188120
120,1718390
121,3063898
121,2967387
121,8520757
121,4095225
121,3209665
121,7000785
121,1823974
121,2961501
121,4702141
121,2966640
122,3130409
122,4622349
122,8812629
122,5068118
122,3135817
122,3131167
122,4216627
122,7089976
122,6207166
122,8964125
122,6014235
122,8965794
122,4442913
122,3269892
122,8216402
122,3484701
122,1057231
122,3130421
122,4218961
122,5069660
122,1324570
123,2845469
123,5213199
123,2858888
123,3487917
123,2855567
123,2856716
123,9096245
123,2933043
123,3556832
123,4194650
123,4191350
123,5230830
123,9728910
123,5410500
124,9643669
124,0196378
124,0392877
124,3036217
124,8646866
112,4629459
112,5215329
112,6224578
112,8197777
112,5306357
112,8273066
112,5046395
112,6705135
112,5501044
112,1355983
112,2240633
112,9705762
112,0718420
112,3291810
112,8341790
112,2738400
112,8623210
114,1611278
114,5022307
114,0126971
114,3544566
114,8533866
114,8887234
114,4368274
114,6475523
114,1612043
114,2765671
114,5640311
118,4931239
118,6126889
118,1590107
118,2869416
118,2868124
118,0514843
118,6624364
118,9725233
118,5204593
118,3088602
118,2949402
118,8338392
118,6625982
118,8767571
118,2862361
118,6625421
118,1820601
118,1683620
118,8016320
119,4185918
119,9751048
119,3529268
119,3547486
119,2839365
119,8934894
119,7813721
119,7354480
120,4397069
120,3585799
120,6543708
120,9651377
120,5794306
120,3076336
120,3074166
120,6754856
120,3550656
120,7806765
120,6958724
120,3846274
120,1806154
120,3071703
120,3070493
120,5074012
120,0091244
121,2960189
121,1145527
121,2960726
121,4977745
121,2589500
122,7848489
122,6546738
122,3137298
122,7393967
122,3132597
122,1057146
122,4216285
122,6463714
122,5408194
122,8812333
122,7393820
122,7089400
123,3487857
123,3104186
123,3903756
123,5897785
123,2841475
123,3538525
123,9096964
123,6675694
123,3558174
123,0385235
123,2932873
123,4720293
123,3104112
123,4442751
123,7860720
123,8044020
123,1625270
123,5410290
124,7729799
124,2991867
124,4836007
124,4726966
124,2953805
124,5796334
124,2953453
124,7521422
124,2881331
127,4394037
127,3863267
127,4140426
112,2742399
112,2231899
112,3810819
112,7949978
112,6728218
112,6224578
112,4490517
112,0144878
112,1355447
112,4904127
112,8340826
112,5935286
112,3902976
112,4629215
112,0809545
112,9705413
112,7074001
112,2730431
114,2782459
114,3724739
114,1595138
114,7041847
114,2296026
114,6459665
114,7179494
114,1334164
114,1783433
114,4177653
114,6748330
118,5398108
118,5885728
118,3084408
118,2876588
118,4644138
118,4586817
118,7658197
118,6126647
118,4390206
118,3088536
118,2875386
118,4462276
118,4721926
118,1820616
118,1820536
118,9194004
118,7158984
118,3001094
118,5398473
118,3486273
118,3083193
118,2947193
118,6264531
118,0839306
118,1048150
118,1820530
119,1685019
119,2836399
119,2817837
119,8362206
119,0812964
119,8934256
119,3090464
119,2839493
119,3648480
120,1685318
120,6755117
120,3550077
120,5224597
120,3552276
120,4716696
120,3846565
120,7633482
120,1806081
120,3027810
120,5225140
121,6585219
121,2964449
121,2961399
121,4095077
121,2962527
121,5584906
121,8289715
121,5405615
121,4183774
121,2969323
121,4035033
121,3208413
121,5405852
121,7001582
121,2961781
122,4621249
122,4219638
122,8008018
122,3268587
122,3866497
122,6791775
122,1839495
122,3311435
122,7137264
122,8310664
122,5407474
122,3268793
122,8310293
122,8638192
122,1776500
122,8964890
123,2849059
123,3101019
123,7161908
123,2848068
123,9298277
123,7662157
123,1011197
123,8045846
123,3927406
123,5410246
123,3105856
123,3902166
123,1624715
112,1544519
112,0553683
112,4629218
112,2220948
112,0553974
112,2731837
112,5306047
112,1543405
112,2744674
112,3539033
112,2229023
112,4491732
112,0270726
112,3809922
112,5392371
112,4015511
112,4383500
112,2730010
112,4705140
114,3445918
114,5485727
114,8887466
114,8533865
114,3544213
114,2270241
118,4196729
118,2873549
118,2872009
118,2879248
118,4644528
118,5688455
118,2945425
118,9292264
118,3081264
118,3563114
118,0993244
118,7342883
118,3004623
118,7658662
118,3946722
118,2864391
118,6264151
118,2872330
118,2862030
118,3003030
119,3094147
119,3092736
119,4712244
119,8906734
119,2821933
119,4685222
119,5167542
119,2832262
119,2830371
119,1157280
120,3034298
120,7121467
120,7121147
120,6760606
120,3550556
120,5794175
120,3077545
120,3332325
120,3330174
120,1593352
120,5201771
120,2786160
120,0237308
121,6227999
121,4035038
121,3841937
121,8521207
121,5300567
121,4961386
121,4035041
122,8216959
122,3137398
122,7991955
122,4741335
122,4217285
122,8175614
122,0358546
122,3134174
122,1324554
122,4622863
122,3136002
122,1612942
122,4621271
122,6791920
122,6463090
123,1575149
123,4471739
123,2845749
123,1808388
123,4193466
123,8159636
123,1808526
123,2934295
123,6583854
123,8944364
123,6303414
123,3902284
123,9254743
123,7114373
123,3900043
123,6389021
123,1808491
123,2858180
123,7344080
123,1625260
124,8747929
124,7020949
124,5177728
124,0068871
124,4452398
124,8036535
124,2741604
124,4201820
127,4236549
112,4877969
112,1542429
112,9572258
112,9705788
112,5168056
112,2741636
112,2734646
112,3535064
112,3810374
112,9683853
112,8874923
112,4172933
112,1544042
112,2744881
112,2732251
112,3537170
112,5305650
114,6229889
114,2272218
114,5089817
114,3974476
114,1783475
114,8329224
114,2754453
114,4180342
114,0296225
114,2756061
114,4180070
114,8157930
118,6264169
118,0115996
118,4200549
118,6264208
118,4462288
118,3080307
118,1773897
118,2867147
118,6264637
118,6625317
118,7457266
118,7343096
118,8918256
118,8565375
118,6105005
118,0116835
118,5942553
118,8919903
118,5399182
118,8295152
118,8181171
118,8564771
118,3058771
118,1231321
118,6125041
118,3499760
118,2871640
118,3454940
119,1157688
119,7491797
119,3093066
119,1403935
119,3092804
119,1637454
119,3097953
119,6515032
119,7491370
119,5787090
119,3054760
120,2786879
120,8851088
120,8117138
120,2796137
120,4575307
120,0852074
120,0237655
120,9052595
120,2787004
120,3935351
120,3074940
120,5074600
121,0056989
121,4208139
121,3844858
121,0056843
121,3838858
121,6584667
121,2967067
121,6452025
121,5406224
121,0511226
121,4731032
121,2960520
122,6656349
122,4218159
122,5069388
122,1839248
122,3580727
122,5469617
122,1057797
122,1839266
122,1222326
122,6258565
122,4621565
122,8216145
122,5408534
122,4041113
122,6014003
122,8092532
122,4877482
122,6370832
122,5070082
122,4443402
122,4442532
122,1613202
122,7089701
122,3133930
122,4216560
123,9289187
123,1575166
112,3290779
112,6572279
112,1355999
112,3812528
112,7411568
112,5355367
112,7845107
112,4173645
112,2221555
112,0270032
112,4174772
112,2589161
114,2271339
114,2749989
114,5641529
114,5089618
114,2769548
114,2745036
114,0741364
114,0127059
114,6801745
114,9324534
114,5088452
114,3974491
114,1334211
118,7904619
118,2870488
118,8548597
118,1820467
118,4814537
118,3001667
118,4199826
118,4197666
118,1820386
118,0289352
118,3560444
118,3083193
118,2874953
118,4644753
118,9194132
118,4462352
118,0116722
118,4199961
118,4197761
118,0289418
118,4196060
118,0185201
119,6394959
119,2835757
119,3548873
119,0813432
119,2828422
120,5795709
120,9053048
120,2791307
120,7777777
120,3845927
120,4716777
120,8577966
120,3550656
120,2785065
120,9052705
